material;element;quantity
25;1;6.6
25;2;9.9
25;3;13.2
41;4;9.2
41;5;11.2
41;6;13.3
62;7;6.5
62;8;8.67
62;9;10.84
62;10;26.0
62;11;34.68
63;12;11.67
63;13;10.9
63;14;11.31
63;15;21.1
63;16;21.1
64;17;7.8
64;18;10.4
64;19;13.0
64;20;15.6
64;21;26.0
64;22;31.2
75;23;16.588
75;24;21.788
75;25;26.988
75;26;32.188
116;27;7.8
116;28;10.4
116;29;13.0
116;30;15.6
116;31;26.0
116;32;31.2
34;33;4.0
34;34;5.0
65;35;2.0
65;36;2.5
93;37;1.62
93;38;2.025
95;39;1.32
95;40;1.65
99;41;5.6
99;42;7.0
18;43;0.097632
18;44;0.32544
18;45;1.6272
18;46;0.54528
18;47;5.325
18;48;47.925
20;49;0.318989
20;50;2.433
20;51;1.96812
20;52;0.16666
20;53;0.423072
20;54;1.602792
23;55;4.3392
23;56;8.136
23;57;16.272
43;58;8.046
43;59;10.728
43;60;17.88
43;61;26.82
44;62;0.30133
44;63;0.516515
44;64;1.328786
74;65;0.222
74;66;0.395
74;67;0.888
108;68;0.02431
108;69;0.0622487
108;70;0.0108
108;71;0.0628
108;72;0.2561
108;73;0.5644
110;74;1.0048
110;75;3.14
110;76;12.56
111;77;1.199042
111;78;2.551972
111;79;8.375046
111;80;19.35879
113;81;3.26
104;82;0.075
118;83;0.173077
119;84;0.078125
16;85;2.14
16;86;3.21
16;87;0.136242
16;88;0.540933
16;89;4.156903
61;90;0.0254
61;91;0.0508
61;92;0.127
66;93;13.5
66;94;27.0
66;95;67.5
126;96;0.094
126;97;0.188
72;98;0.09155623
72;99;0.35486979
72;100;1.39703717
72;101;5.5881487
72;102;22.3525948
72;103;57.2226427
77;104;0.091
77;105;0.182
78;106;0.08455226
78;107;0.13333673
78;108;0.20515103
78;109;0.33855208
79;110;2.4
79;111;3.0
79;112;3.84
79;113;4.8
83;114;1.71
83;115;3.42
83;116;5.7
90;117;1.2
90;118;2.4
90;119;3.6
90;120;7.2
91;121;3.57
91;122;4.76
91;123;5.95
91;124;7.14
91;125;9.52
91;126;11.9
92;127;1.8
92;128;2.7
92;129;3.6
92;130;5.4
92;131;9.0
92;132;10.8
92;133;13.5
94;134;0.447222
94;135;0.483
94;136;0.728395
94;137;1.226852
97;138;0.02641
97;139;0.03475
117;140;0.153668
117;141;0.654542
117;142;2.318047
117;143;10.38262
123;144;0.06
123;145;0.105
123;146;0.175
122;147;0.72
122;148;1.2
122;149;1.44
122;150;2.4
122;151;6.0
114;152;1.267857143
114;153;1.446428571
24;154;1020.0
22;155;1.8944099378881987
23;156;0.3355
18;157;1.08
21;158;1.667
24;159;1020.0
37;160;158.598
36;161;23.2
38;162;38.44
3;163;1.0278372591006424
3;164;1.0278372591006424
6;165;0.9962640099626401
9;166;1.0313708637730985
25;167;181.5
35;168;1000.0
35;169;1000.0
41;170;148.5
42;171;38.44
35;172;1600.0
9;173;1.0313708637730985
30;174;0.8561643835616438
28;175;1.0245901639344261
65;176;12.0
87;177;2.1052631578947367
129;178;2.1052631578947367
117;179;1000.0
93;180;24.0
117;181;0.025
117;182;0.025
79;183;1.6
100;184;1600.0
69;185;2400.0
74;186;1000.0
105;187;1000.0
113;188;10.0
125;189;1.1111111111111112
71;190;1.1111111111111112
130;191;1.5686274509803921
80;192;1.0964912280701755
43;193;0.082
44;194;0.082
131;195;1.5686274509803921
73;196;1000.0
18;197;0.229
40;198;1000.0
101;199;14.0
130;200;0.005294117647058824
107;201;7.25
91;202;20.0
21;203;1.667
65;204;12.0
73;205;1000.0
45;206;1000.0
97;207;1000.0
74;208;1000.0
41;209;74.25
71;210;1.1111111111111112
74;211;1000.0
117;212;1000.0
35;213;2400.0
25;214;49.5
9;215;1.0313708637730985
74;216;1000.0
117;217;1000.0
39;218;1000.0
80;219;1.0964912280701755
20;220;1000.0
71;221;1.1111111111111112
41;222;133.65
23;223;0.3355
23;224;1000.0
80;225;1.0964912280701755
74;226;1000.0
6;227;0.9962640099626401
93;228;24.0
37;229;158.598
18;230;1000.0
23;231;1000.0
122;232;120.0
105;233;0.125
39;234;0.16
73;235;1.25
46;236;2243.0
101;237;30.0
39;238;1.0
101;239;23.0
105;240;0.78
16;241;0.05
16;242;0.056
